customer_id,signup_date,plan,industry,region,payment_method,tenure_months,monthly_revenue,cogs,gross_profit,gross_margin_pct,support_tickets,login_frequency,num_users,nps_score,ltv,churned,plan_encoded,region_Asia Pacific,region_Europe,region_Latin America,region_Middle East,region_North America,industry_Education,industry_Finance,industry_Healthcare,industry_Logistics,industry_Manufacturing,industry_Retail,industry_Technology,payment_Bank Transfer,payment_Credit Card,payment_Invoice,payment_PayPal,revenue_per_user,cost_efficiency,engagement_score,risk_score,annual_revenue,revenue_segment,tenure_bucket,profitability_tier
CUST-10038,2023-09-13,Growth,Healthcare,Latin America,PayPal,8,564.11,272.04,292.07,51.78,1,5,5,3,2336.53,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,112.82,0.5178,26.11,27,6769.32,Medium,Growing,Medium
CUST-10039,2021-01-05,Enterprise,Technology,Europe,PayPal,41,6114.23,1891.12,4223.11,69.07,1,10,102,10,173147.31,0,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,59.94,0.6907,48.08,3,73370.76,Premium,Veteran,High
CUST-10040,2023-05-17,Professional,Logistics,Latin America,Invoice,12,1771.32,771.65,999.67,56.44,1,5,30,7,11996.0,0,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,59.04,0.5644,29.88,19,21255.84,High,Growing,Medium
CUST-10041,2022-03-22,Enterprise,Healthcare,Europe,Invoice,26,6248.19,2656.38,3591.81,57.49,4,12,149,7,93387.01,0,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,41.93,0.5749,52.11,18,74978.28,Premium,Veteran,Medium
CUST-10042,2021-04-13,Starter,Education,Asia Pacific,Credit Card,38,191.02,73.75,117.27,61.39,3,6,4,6,4456.2,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,47.76,0.6139,23.43,25,2292.24,Low,Veteran,High
CUST-10043,2022-01-16,Growth,Technology,Middle East,Credit Card,28,541.26,179.05,362.21,66.92,0,5,8,9,10141.78,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,67.66,0.6692,28.56,12,6495.12,Medium,Veteran,High
CUST-10044,2021-09-03,Starter,Education,Europe,PayPal,33,219.83,83.37,136.46,62.08,2,11,2,9,4503.08,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,109.92,0.6208,32.48,8,2637.96,Low,Veteran,High
CUST-10045,2021-06-17,Growth,Manufacturing,Middle East,Credit Card,36,566.69,294.48,272.21,48.04,0,4,10,3,9799.54,0,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,56.67,0.4804,27.39,26,6800.28,Medium,Veteran,Medium
CUST-10046,2022-05-04,Professional,Retail,Europe,Invoice,25,1520.98,773.98,747.0,49.11,3,13,31,6,18674.96,0,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,49.06,0.4911,37.79,17,18251.76,High,Veteran,Medium
CUST-10047,2022-10-10,Growth,Education,Asia Pacific,PayPal,20,558.59,232.84,325.75,58.32,2,6,12,4,6515.06,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,46.55,0.5832,26.63,26,6703.08,Medium,Established,Medium
CUST-10048,2021-05-31,Starter,Technology,Latin America,Credit Card,36,175.88,55.36,120.52,68.52,6,7,2,2,4338.84,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,87.94,0.6852,18.6,40,2110.56,Low,Veteran,High
CUST-10049,2022-05-16,Professional,Healthcare,Asia Pacific,Credit Card,24,1435.59,651.09,784.5,54.65,1,13,35,7,18828.04,0,2,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,41.02,0.5465,42.39,9,17227.08,High,Established,Medium
CUST-10050,2023-12-20,Growth,Finance,Middle East,Invoice,5,565.03,203.74,361.29,63.94,2,12,8,6,1806.46,1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,70.63,0.6394,34.85,19,6780.36,Medium,Growing,High
CUST-10051,2022-06-26,Professional,Education,North America,Bank Transfer,23,1365.8,474.39,891.41,65.27,0,10,39,6,20502.35,0,2,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,35.02,0.6527,40.59,8,16389.6,High,Established,High
CUST-10052,2022-07-12,Starter,Education,Middle East,Bank Transfer,23,240.53,90.84,149.69,62.23,1,11,4,5,3442.89,1,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,60.13,0.6223,34.78,13,2886.36,Low,Established,High
CUST-10053,2022-06-25,Growth,Education,Asia Pacific,Bank Transfer,23,741.08,317.92,423.16,57.1,2,10,12,8,9732.67,0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,61.76,0.571,32.51,10,8892.96,Medium,Established,Medium
CUST-10054,2023-05-18,Professional,Logistics,North America,Credit Card,12,1467.43,700.43,767.0,52.27,1,17,20,10,9204.02,0,2,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,73.37,0.5227,46.02,3,17609.16,High,Growing,Medium
CUST-10055,2022-06-21,Starter,Technology,Asia Pacific,Bank Transfer,23,177.64,57.25,120.39,67.77,5,10,2,8,2768.87,1,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,88.82,0.6777,25.01,19,2131.68,Low,Established,High
CUST-10056,2021-08-18,Enterprise,Manufacturing,Latin America,Credit Card,33,4966.67,2681.84,2284.83,46.0,1,19,53,8,75399.5,0,3,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,93.71,0.46,53.93,7,59600.04,Premium,Veteran,Medium
CUST-10057,2021-10-31,Growth,Manufacturing,North America,Invoice,31,614.27,325.2,289.07,47.06,2,7,6,10,8961.29,0,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,102.38,0.4706,27.2,12,7371.24,Medium,Veteran,Medium
CUST-10058,2023-01-03,Starter,Retail,Asia Pacific,Credit Card,17,218.51,119.24,99.27,45.43,4,8,4,7,1687.57,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,54.63,0.4543,24.37,22,2622.12,Low,Established,Medium
CUST-10059,2023-04-13,Growth,Education,North America,Invoice,13,638.5,249.75,388.75,60.88,3,12,4,10,5053.8,0,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,159.62,0.6088,32.25,9,7662.0,Medium,Established,High
CUST-10060,2023-04-25,Growth,Healthcare,Europe,Bank Transfer,13,513.49,236.61,276.88,53.92,6,13,10,10,3599.43,1,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,51.35,0.5392,28.63,18,6161.88,Medium,Established,Medium
CUST-10061,2022-07-01,Professional,Logistics,Latin America,Bank Transfer,23,1397.42,649.29,748.13,53.54,2,14,47,5,17207.0,0,2,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,29.73,0.5354,43.67,16,16769.04,High,Established,Medium
CUST-10062,2022-04-01,Starter,Finance,North America,PayPal,26,196.77,69.17,127.6,64.85,3,8,1,6,3317.65,1,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,196.77,0.6485,25.92,21,2361.24,Low,Veteran,High
CUST-10063,2022-04-02,Enterprise,Retail,Asia Pacific,Bank Transfer,26,5363.54,3110.74,2252.8,42.0,2,13,162,8,58572.9,1,3,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,33.11,0.42,59.54,10,64362.48,Premium,Veteran,Low
CUST-10064,2021-05-23,Growth,Finance,Asia Pacific,Invoice,36,592.86,233.95,358.91,60.54,2,10,9,3,12920.78,0,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,65.87,0.6054,32.06,20,7114.32,Medium,Veteran,High
CUST-10065,2022-11-10,Professional,Retail,Middle East,PayPal,18,1660.29,897.88,762.41,45.92,1,10,38,5,13723.34,0,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,43.69,0.4592,38.43,13,19923.48,High,Established,Medium
CUST-10066,2021-03-20,Starter,Retail,Europe,Invoice,38,213.07,106.81,106.26,49.87,2,14,2,2,4037.8,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,106.54,0.4987,36.89,22,2556.84,Low,Veteran,Medium
CUST-10067,2023-11-14,Enterprise,Retail,Asia Pacific,PayPal,6,6034.14,3178.82,2855.32,47.32,1,12,158,10,17131.9,0,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,38.19,0.4732,59.47,3,72409.68,Premium,Growing,Medium
CUST-10068,2021-01-04,Growth,Retail,North America,PayPal,41,658.7,365.03,293.67,44.58,2,9,11,3,12040.57,0,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,59.88,0.4458,30.89,22,7904.4,Medium,Veteran,Low
CUST-10069,2022-11-08,Growth,Retail,Latin America,Credit Card,19,542.54,274.91,267.63,49.33,3,4,8,8,5084.88,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,67.82,0.4933,21.09,25,6510.48,Medium,Established,Medium
CUST-10070,2023-04-17,Starter,Education,Asia Pacific,Invoice,13,201.41,74.9,126.51,62.81,2,7,1,7,1644.63,1,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,201.41,0.6281,26.44,18,2416.92,Low,Established,High
CUST-10071,2023-05-12,Professional,Manufacturing,Europe,Bank Transfer,12,1302.31,686.45,615.86,47.29,0,18,45,1,7390.37,0,2,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,28.94,0.4729,53.25,18,15627.72,High,Growing,Medium
CUST-10072,2023-04-12,Enterprise,Education,Europe,Invoice,13,4385.62,1656.03,2729.59,62.24,1,21,93,8,35484.64,0,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,47.16,0.6224,62.9,7,52627.44,Premium,Established,High
CUST-10073,2023-05-31,Starter,Retail,Asia Pacific,Bank Transfer,12,227.46,121.73,105.73,46.48,1,7,1,7,1268.81,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,227.46,0.4648,28.44,15,2729.52,Low,Growing,Medium
CUST-10074,2022-03-14,Professional,Finance,Latin America,PayPal,27,1521.66,457.3,1064.36,69.95,2,8,39,6,28737.79,0,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,39.02,0.6995,33.64,18,18259.92,High,Veteran,High
CUST-10075,2023-11-22,Growth,Education,North America,Invoice,6,702.61,302.08,400.53,57.01,4,12,9,5,2403.2,0,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,78.07,0.5701,31.0,22,8431.32,Medium,Growing,Medium
CUST-10076,2022-04-06,Professional,Technology,Europe,Invoice,26,1607.41,590.09,1017.32,63.29,1,10,17,6,26450.33,0,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,94.55,0.6329,35.27,11,19288.92,High,Veteran,High
CUST-10077,2023-09-01,Growth,Technology,North America,Bank Transfer,9,715.7,222.19,493.51,68.95,3,5,9,8,4441.61,0,1,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,79.52,0.6895,22.71,23,8588.4,Medium,Growing,High
CUST-10078,2023-02-26,Starter,Finance,Latin America,Bank Transfer,15,214.72,75.77,138.95,64.71,5,4,1,5,2084.2,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,214.72,0.6471,16.03,37,2576.64,Low,Established,High
CUST-10079,2023-05-21,Growth,Healthcare,North America,Credit Card,12,624.13,266.96,357.17,57.23,5,6,11,10,4286.08,1,1,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,56.74,0.5723,20.48,23,7489.56,Medium,Growing,Medium
CUST-10080,2021-09-06,Enterprise,Technology,Middle East,Bank Transfer,33,6069.46,2219.25,3850.21,63.44,0,9,179,5,127057.03,0,3,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,33.91,0.6344,60.22,12,72833.52,Premium,Veteran,High
CUST-10081,2023-06-26,Enterprise,Education,Middle East,Invoice,11,5426.02,2143.09,3282.93,60.5,5,7,132,9,36112.27,0,3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,41.11,0.605,40.19,23,65112.24,Premium,Growing,High
CUST-10082,2021-11-22,Enterprise,Logistics,Middle East,PayPal,30,5464.38,2801.15,2663.23,48.74,1,11,42,8,79896.79,0,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,130.1,0.4874,40.51,7,65572.56,Premium,Veteran,Medium
CUST-10083,2022-07-22,Enterprise,Finance,Asia Pacific,Bank Transfer,22,4681.71,1730.37,2951.34,63.04,1,15,121,9,64929.49,0,3,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,38.69,0.6304,58.3,5,56180.52,Premium,Established,High
CUST-10084,2023-06-20,Enterprise,Education,Europe,Invoice,11,4556.88,1911.58,2645.3,58.05,1,11,112,6,29098.35,1,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,40.69,0.5805,51.06,11,54682.56,Premium,Growing,Medium
CUST-10085,2022-10-17,Professional,Healthcare,Asia Pacific,Invoice,19,1508.7,733.55,775.15,51.38,0,15,43,9,14727.87,0,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,35.09,0.5138,48.54,2,18104.4,High,Established,Medium
CUST-10086,2023-02-24,Starter,Healthcare,Europe,Bank Transfer,15,233.59,114.33,119.26,51.06,2,6,1,7,1788.9,0,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,233.59,0.5106,24.97,20,2803.08,Low,Established,Medium
CUST-10087,2022-11-09,Growth,Technology,Latin America,PayPal,19,726.35,245.52,480.83,66.2,4,6,7,9,9135.84,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,103.76,0.662,21.88,22,8716.2,Medium,Established,High
CUST-10088,2023-03-09,Enterprise,Technology,Europe,PayPal,15,5486.13,1979.78,3506.35,63.91,1,10,197,4,52595.24,0,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,27.85,0.6391,62.4,15,65833.56,Premium,Established,High
CUST-10089,2023-09-04,Starter,Logistics,Middle East,PayPal,9,184.52,93.73,90.79,49.2,1,3,1,9,817.08,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,184.52,0.492,22.56,19,2214.24,Low,Growing,Medium
CUST-10090,2022-03-28,Professional,Retail,Latin America,PayPal,26,1338.3,691.42,646.88,48.34,3,17,36,8,16818.98,0,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,37.17,0.4834,44.43,13,16059.6,High,Veteran,Medium
CUST-10091,2023-03-08,Professional,Finance,Latin America,Credit Card,15,1558.1,471.26,1086.84,69.75,0,14,21,9,16302.59,0,2,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,74.2,0.6975,43.75,2,18697.2,High,Established,High
CUST-10092,2021-09-19,Enterprise,Education,Europe,PayPal,32,4293.39,1417.26,2876.13,66.99,0,15,97,6,92036.14,0,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,44.26,0.6699,56.68,8,51520.68,Premium,Veteran,High
CUST-10093,2021-06-21,Starter,Finance,Middle East,Credit Card,35,244.32,96.35,147.97,60.56,2,8,1,3,5178.94,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,244.32,0.6056,27.92,24,2931.84,Low,Veteran,High
CUST-10094,2021-04-13,Growth,Logistics,Latin America,Bank Transfer,38,609.72,291.03,318.69,52.27,2,7,14,7,12110.14,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,43.55,0.5227,28.4,18,7316.64,Medium,Veteran,Medium
CUST-10095,2022-11-23,Professional,Healthcare,Latin America,Invoice,18,1736.39,694.77,1041.62,59.99,3,16,34,8,18749.16,0,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,51.07,0.5999,42.66,13,20836.68,High,Established,Medium
CUST-10096,2021-06-17,Enterprise,Retail,Latin America,Invoice,36,5445.57,3077.57,2368.0,43.48,1,16,102,9,85247.84,0,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,53.39,0.4348,56.91,5,65346.84,Premium,Veteran,Low
CUST-10097,2021-03-24,Starter,Retail,Europe,Credit Card,38,203.64,114.41,89.23,43.82,3,12,2,2,3390.81,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,101.82,0.4382,31.95,25,2443.68,Low,Veteran,Low
CUST-10098,2022-05-04,Growth,Healthcare,North America,Bank Transfer,25,677.46,295.22,382.24,56.42,1,4,6,8,9555.91,1,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,112.91,0.5642,24.79,19,8129.52,Medium,Veteran,Medium
CUST-10099,2022-06-09,Starter,Manufacturing,Europe,PayPal,24,234.54,124.71,109.83,46.83,0,15,2,4,2635.87,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,117.27,0.4683,42.36,12,2814.48,Low,Established,Medium
CUST-10100,2021-12-02,Growth,Manufacturing,Middle East,Credit Card,30,617.53,331.73,285.8,46.28,3,6,10,5,8574.1,0,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,61.75,0.4628,24.33,27,7410.36,Medium,Veteran,Medium
