customer_id,signup_date,plan,industry,region,payment_method,tenure_months,monthly_revenue,cogs,gross_profit,gross_margin_pct,support_tickets,login_frequency,num_users,nps_score,ltv,churned
CUST-10026,2022-06-27,Growth,Education,Latin America,Bank Transfer,23,674.11,208.67,465.44,69.05,0,9,9,6,10705.21,0
CUST-10027,2022-10-01,Enterprise,Healthcare,Middle East,Bank Transfer,20,4960.95,2337.06,2623.89,52.89,1,9,133,8,52477.71,0
CUST-10028,2021-09-05,Professional,Finance,Middle East,PayPal,33,1379.28,523.71,855.57,62.03,0,13,46,6,28233.68,0
CUST-10029,2022-03-28,Starter,Retail,North America,Bank Transfer,26,244.7,76.8,167.9,68.61,2,18,1,5,4365.28,1
CUST-10030,2022-11-08,Starter,Healthcare,North America,Credit Card,19,170.6,63.07,107.53,63.03,2,5,1,2,2043.16,1
CUST-10031,2021-09-28,Growth,Retail,Latin America,Bank Transfer,32,719.39,261.87,457.52,63.6,3,14,11,7,14640.8,0
CUST-10032,2022-01-25,Enterprise,Healthcare,Latin America,PayPal,28,4449.08,1618.85,2830.23,63.61,0,24,48,10,79246.32,0
CUST-10033,2023-08-15,Enterprise,Retail,Latin America,PayPal,9,5602.42,2048.99,3553.43,63.43,1,8,179,7,31980.88,0
CUST-10034,2023-04-05,Starter,Education,North America,Credit Card,14,186.08,92.54,93.54,50.27,6,13,2,9,1309.52,0
CUST-10035,2023-07-08,Starter,Healthcare,Europe,Bank Transfer,10,198.65,82.3,116.35,58.57,5,6,4,3,1163.5,1
CUST-10036,2021-06-04,Growth,Retail,Latin America,Bank Transfer,36,537.62,165.95,371.67,69.13,0,9,7,9,13380.03,0
CUST-10037,2021-07-11,Starter,Technology,Middle East,Credit Card,35,248.19,91.12,157.07,63.29,1,12,4,6,5497.5,0
CUST-10038,2023-09-13,Growth,Healthcare,Latin America,PayPal,8,554.22,175.44,378.78,68.34,2,13,4,10,3030.25,0
CUST-10039,2021-01-05,Enterprise,Technology,Europe,PayPal,41,5980.93,2264.37,3716.56,62.14,0,10,102,7,152379.06,0
CUST-10040,2023-05-17,Professional,Logistics,Latin America,Invoice,12,1779.08,779.85,999.23,56.17,2,12,15,9,11990.8,0
CUST-10041,2022-03-22,Enterprise,Healthcare,Europe,Invoice,26,6248.19,2188.67,4059.52,64.97,4,12,149,9,105547.55,0
CUST-10042,2021-04-13,Starter,Education,Asia Pacific,Credit Card,38,217.4,83.5,133.9,61.59,3,10,3,9,5088.01,0
CUST-10043,2022-01-16,Growth,Technology,Middle East,Credit Card,28,657.78,256.65,401.13,60.98,2,6,8,3,11231.53,1
CUST-10044,2021-09-03,Starter,Education,Europe,PayPal,33,192.87,62.8,130.07,67.44,6,6,3,7,4292.3,0
CUST-10045,2021-06-17,Growth,Manufacturing,Middle East,Credit Card,36,542.41,200.16,342.25,63.1,1,6,7,6,12321.06,0
CUST-10046,2022-05-04,Professional,Retail,Europe,Invoice,25,1380.29,660.94,719.35,52.12,0,10,35,5,17983.68,0
CUST-10047,2022-10-10,Growth,Education,Asia Pacific,PayPal,20,629.77,249.96,379.81,60.31,1,9,10,6,7596.23,0
CUST-10048,2021-05-31,Starter,Technology,Latin America,Credit Card,36,229.64,89.44,140.2,61.05,2,5,2,7,5047.17,0
CUST-10049,2022-05-16,Professional,Healthcare,Asia Pacific,Credit Card,24,1512.29,551.1,961.19,63.56,0,18,48,10,23068.5,0
CUST-10050,2023-12-20,Growth,Finance,Middle East,Invoice,5,587.62,215.94,371.68,63.25,0,10,11,3,1858.38,1
CUST-10051,2022-06-26,Professional,Education,North America,Bank Transfer,23,1661.44,619.84,1041.6,62.69,1,12,15,8,23956.9,0
CUST-10052,2022-07-12,Starter,Education,Middle East,Bank Transfer,23,236.88,112.07,124.81,52.69,2,6,3,5,2870.67,1
CUST-10053,2022-06-25,Growth,Education,Asia Pacific,Bank Transfer,23,742.78,361.29,381.49,51.36,4,10,13,9,8774.26,0
CUST-10054,2023-05-18,Professional,Logistics,North America,Credit Card,12,1593.49,652.99,940.5,59.02,0,13,32,6,11286.03,0
CUST-10055,2022-06-21,Starter,Technology,Asia Pacific,Bank Transfer,23,194.81,86.56,108.25,55.57,5,9,4,3,2489.8,1
CUST-10056,2021-08-18,Enterprise,Manufacturing,Latin America,Credit Card,33,5932.47,2758.76,3173.71,53.5,0,19,69,9,104732.56,0
CUST-10057,2021-10-31,Growth,Manufacturing,North America,Invoice,31,704.32,338.99,365.33,51.87,2,11,7,7,11325.38,0
CUST-10058,2023-01-03,Starter,Retail,Asia Pacific,Credit Card,17,212.36,68.41,143.95,67.79,4,13,1,3,2447.21,1
CUST-10059,2023-04-13,Growth,Education,North America,Invoice,13,618.65,235.19,383.46,61.98,3,9,8,6,4984.95,0
CUST-10060,2023-04-25,Growth,Healthcare,Europe,Bank Transfer,13,736.12,275.96,460.16,62.51,1,9,14,0,5982.06,1
CUST-10061,2022-07-01,Professional,Logistics,Latin America,Bank Transfer,23,1528.46,724.46,804.0,52.6,3,19,10,7,18492.04,0
CUST-10062,2022-04-01,Starter,Finance,North America,PayPal,26,216.22,102.21,114.01,52.73,1,4,1,5,2964.31,1
CUST-10063,2022-04-02,Enterprise,Retail,Asia Pacific,Bank Transfer,26,4941.7,2384.62,2557.08,51.74,0,18,147,5,66484.16,1
CUST-10064,2021-05-23,Growth,Finance,Asia Pacific,Invoice,36,551.41,260.34,291.07,52.79,3,6,8,9,10478.69,0
CUST-10065,2022-11-10,Professional,Retail,Middle East,PayPal,18,1384.75,512.19,872.56,63.01,0,13,28,10,15706.12,0
CUST-10066,2021-03-20,Starter,Retail,Europe,Invoice,38,184.33,59.1,125.23,67.94,0,8,3,4,4758.91,1
CUST-10067,2023-11-14,Enterprise,Retail,Asia Pacific,PayPal,6,4400.13,2181.52,2218.61,50.42,1,21,126,6,13311.64,0
CUST-10068,2021-01-04,Growth,Retail,North America,PayPal,41,716.88,343.58,373.3,52.07,2,14,9,6,15305.42,0
CUST-10069,2022-11-08,Growth,Retail,Latin America,Credit Card,19,529.64,195.46,334.18,63.1,1,9,7,10,6349.47,0
CUST-10070,2023-04-17,Starter,Education,Asia Pacific,Invoice,13,198.03,80.23,117.8,59.49,4,11,2,4,1531.41,1
CUST-10071,2023-05-12,Professional,Manufacturing,Europe,Bank Transfer,12,1688.61,693.74,994.87,58.92,2,19,43,5,11938.43,0
CUST-10072,2023-04-12,Enterprise,Education,Europe,Invoice,13,5243.88,2489.68,2754.2,52.52,1,10,70,6,35804.61,0
CUST-10073,2023-05-31,Starter,Retail,Asia Pacific,Bank Transfer,12,216.95,98.54,118.41,54.58,3,5,4,9,1420.94,0
CUST-10074,2022-03-14,Professional,Finance,Latin America,PayPal,27,1507.57,636.32,871.25,57.79,0,13,48,10,23523.84,0
CUST-10075,2023-11-22,Growth,Education,North America,Invoice,6,623.21,261.35,361.86,58.06,3,3,13,6,2171.13,0
CUST-10076,2022-04-06,Professional,Technology,Europe,Invoice,26,1647.9,637.68,1010.22,61.3,1,13,49,7,26265.71,0
CUST-10077,2023-09-01,Growth,Technology,North America,Bank Transfer,9,705.41,318.62,386.79,54.83,3,6,10,9,3481.12,0
CUST-10078,2023-02-26,Starter,Finance,Latin America,Bank Transfer,15,229.57,82.52,147.05,64.05,6,7,3,6,2205.7,0
CUST-10079,2023-05-21,Growth,Healthcare,North America,Credit Card,12,610.2,221.96,388.24,63.63,2,13,8,6,4658.87,0
CUST-10080,2021-09-06,Enterprise,Technology,Middle East,Bank Transfer,33,5289.28,2642.45,2646.83,50.04,2,14,162,8,87345.24,0
CUST-10081,2023-06-26,Enterprise,Education,Middle East,Invoice,11,4354.5,1975.44,2379.06,54.63,0,16,160,5,26169.67,0
CUST-10082,2021-11-22,Enterprise,Logistics,Middle East,PayPal,30,4921.76,2180.88,2740.88,55.69,2,15,107,9,82226.27,0
CUST-10083,2022-07-22,Enterprise,Finance,Asia Pacific,Bank Transfer,22,4333.32,2128.89,2204.43,50.87,0,14,179,9,48497.52,0
CUST-10084,2023-06-20,Enterprise,Education,Europe,Invoice,11,5821.53,2445.97,3375.56,57.98,0,14,85,5,37131.14,1
CUST-10085,2022-10-17,Professional,Healthcare,Asia Pacific,Invoice,19,1641.95,508.0,1133.95,69.06,0,23,19,5,21545.02,0
CUST-10086,2023-02-24,Starter,Healthcare,Europe,Bank Transfer,15,186.7,57.31,129.39,69.3,3,11,3,8,1940.82,0
CUST-10087,2022-11-09,Growth,Technology,Latin America,PayPal,19,648.14,228.11,420.03,64.81,0,10,8,9,7980.51,0
CUST-10088,2023-03-09,Enterprise,Technology,Europe,PayPal,15,4346.7,1606.37,2740.33,63.04,2,15,106,6,41104.88,0
CUST-10089,2023-09-04,Starter,Logistics,Middle East,PayPal,9,212.43,101.15,111.28,52.38,5,6,1,1,1001.49,1
CUST-10090,2022-03-28,Professional,Retail,Latin America,PayPal,26,1553.25,515.92,1037.33,66.78,1,19,48,8,26970.71,0
CUST-10091,2023-03-08,Professional,Finance,Latin America,Credit Card,15,1607.64,797.77,809.87,50.38,1,11,36,5,12148.04,0
CUST-10092,2021-09-19,Enterprise,Education,Europe,PayPal,32,4480.79,1360.75,3120.04,69.63,1,19,197,5,99841.24,0
CUST-10093,2021-06-21,Starter,Finance,Middle East,Credit Card,35,245.8,77.41,168.39,68.51,3,7,2,6,5893.58,0
CUST-10094,2021-04-13,Growth,Logistics,Latin America,Bank Transfer,38,717.97,251.65,466.32,64.95,3,3,5,6,17720.17,0
CUST-10095,2022-11-23,Professional,Healthcare,Latin America,Invoice,18,1369.45,600.83,768.62,56.13,2,20,38,8,13835.2,0
CUST-10096,2021-06-17,Enterprise,Retail,Latin America,Invoice,36,5928.71,2857.07,3071.64,51.81,1,25,60,9,110578.88,0
CUST-10097,2021-03-24,Starter,Retail,Europe,Credit Card,38,219.98,86.74,133.24,60.57,3,5,3,7,5063.14,0
CUST-10098,2022-05-04,Growth,Healthcare,North America,Bank Transfer,25,741.13,240.89,500.24,67.5,2,9,9,3,12505.88,1
CUST-10099,2022-06-09,Starter,Manufacturing,Europe,PayPal,24,188.85,58.15,130.7,69.21,2,13,1,10,3136.77,0
CUST-10100,2021-12-02,Growth,Manufacturing,Middle East,Credit Card,30,688.65,251.56,437.09,63.47,1,5,4,6,13112.74,0
CUST-10101,2023-02-08,Starter,Manufacturing,North America,Invoice,15,211.68,64.84,146.84,69.37,3,8,3,10,2202.58,0
CUST-10102,2021-07-28,Growth,Technology,Middle East,Bank Transfer,34,656.89,292.29,364.6,55.5,4,9,13,8,12396.29,0
CUST-10103,2021-03-26,Professional,Logistics,Middle East,Credit Card,38,1422.31,638.41,783.9,55.11,0,20,45,9,29788.12,0
CUST-10104,2023-11-03,Enterprise,Education,Asia Pacific,Credit Card,7,5828.23,2135.83,3692.4,63.35,1,16,189,5,25846.8,0
CUST-10105,2021-08-05,Starter,Logistics,Latin America,PayPal,34,208.41,64.19,144.22,69.2,1,10,4,5,4903.32,0
CUST-10106,2023-06-11,Professional,Education,Latin America,Bank Transfer,11,1582.34,759.75,822.59,51.99,1,14,24,10,9048.54,0
CUST-10107,2023-08-11,Professional,Manufacturing,Middle East,PayPal,9,1666.89,710.62,956.27,57.37,1,13,27,5,8606.47,0
CUST-10108,2022-07-26,Professional,Retail,Europe,Credit Card,22,1353.04,545.23,807.81,59.7,2,11,23,5,17771.91,0
CUST-10109,2022-11-20,Growth,Logistics,Latin America,PayPal,18,667.91,329.92,337.99,50.6,0,6,6,2,6083.75,1
CUST-10110,2022-12-28,Professional,Healthcare,Latin America,Bank Transfer,17,1804.02,703.36,1100.66,61.01,1,14,10,7,18711.16,0
CUST-10111,2021-01-21,Professional,Retail,Middle East,Invoice,40,1842.92,684.36,1158.56,62.87,0,13,46,8,46342.33,0
CUST-10112,2023-09-28,Growth,Technology,Europe,PayPal,8,622.87,214.85,408.02,65.51,4,5,9,9,3264.14,0
CUST-10113,2023-07-07,Growth,Education,Latin America,PayPal,11,732.91,291.53,441.38,60.22,2,7,13,8,4855.19,0
CUST-10114,2022-05-14,Starter,Retail,Europe,PayPal,24,211.52,70.95,140.57,66.46,1,7,3,6,3373.68,0
CUST-10115,2023-05-22,Professional,Finance,Middle East,Invoice,12,1670.86,731.68,939.18,56.21,1,18,34,5,11270.18,0
CUST-10116,2022-09-20,Professional,Retail,Latin America,Invoice,20,1634.28,594.26,1040.02,63.64,3,13,15,5,20800.39,0
CUST-10117,2021-09-02,Starter,Education,Europe,Invoice,33,201.54,85.86,115.68,57.4,6,8,3,6,3817.29,0
CUST-10118,2022-07-21,Growth,Healthcare,Europe,PayPal,22,604.07,246.75,357.32,59.15,2,7,5,6,7861.13,0
CUST-10119,2022-04-11,Professional,Technology,Europe,Invoice,26,1561.47,632.9,928.57,59.47,0,13,43,8,24142.76,0
CUST-10120,2022-07-16,Professional,Technology,Middle East,Bank Transfer,22,1559.98,529.08,1030.9,66.08,1,18,30,4,22679.89,1
CUST-10121,2023-10-03,Starter,Manufacturing,Asia Pacific,Bank Transfer,8,240.63,100.15,140.48,58.38,2,7,3,1,1123.86,1
CUST-10122,2023-09-08,Starter,Manufacturing,Asia Pacific,PayPal,8,217.73,83.81,133.92,61.51,3,7,4,10,1071.4,0
CUST-10123,2021-08-22,Growth,Technology,Asia Pacific,PayPal,33,702.27,253.11,449.16,63.96,1,12,7,7,14822.39,0
CUST-10124,2021-11-07,Enterprise,Finance,North America,Credit Card,31,5951.16,2662.4,3288.76,55.26,3,14,88,6,101951.6,0
CUST-10125,2023-05-03,Professional,Technology,Europe,Credit Card,13,1557.7,637.63,920.07,59.07,1,13,16,6,11960.93,0
CUST-10126,2023-07-12,Growth,Logistics,Middle East,PayPal,10,570.7,185.86,384.84,67.43,1,7,10,7,3848.35,0
CUST-10127,2022-09-18,Professional,Logistics,Middle East,PayPal,20,1635.84,518.78,1117.06,68.29,0,21,45,5,22341.27,0
CUST-10128,2022-03-09,Starter,Manufacturing,North America,Bank Transfer,27,216.57,79.39,137.18,63.34,3,8,2,5,3703.73,1
CUST-10129,2021-06-03,Starter,Healthcare,Europe,Bank Transfer,36,173.32,75.04,98.28,56.7,4,9,4,3,3537.92,1
CUST-10130,2022-08-20,Enterprise,Finance,Middle East,PayPal,21,5198.73,2358.77,2839.96,54.63,1,28,143,0,59639.21,1
CUST-10131,2021-05-26,Professional,Education,Asia Pacific,PayPal,36,1779.03,750.21,1028.82,57.83,1,9,42,8,37037.44,0
CUST-10132,2023-05-21,Professional,Logistics,Middle East,Bank Transfer,12,1743.05,655.7,1087.35,62.38,1,13,11,6,13048.15,0
CUST-10133,2021-10-19,Growth,Education,Europe,Invoice,31,733.65,240.82,492.83,67.18,2,12,8,3,15277.58,1
CUST-10134,2023-06-19,Growth,Logistics,Asia Pacific,Invoice,11,705.32,328.58,376.74,53.41,1,9,8,3,4144.09,1
CUST-10135,2023-10-22,Professional,Education,Latin America,Invoice,7,1575.49,632.12,943.37,59.88,1,13,43,8,6603.59,0
CUST-10136,2023-06-04,Enterprise,Technology,Middle East,Credit Card,12,4409.05,1323.01,3086.04,69.99,1,20,173,7,37032.5,0
CUST-10137,2021-02-12,Professional,Technology,North America,Bank Transfer,40,1645.65,741.94,903.71,54.92,1,14,20,5,36148.3,0
CUST-10138,2023-08-22,Professional,Manufacturing,North America,Bank Transfer,9,1532.18,478.74,1053.44,68.75,0,12,25,8,9480.94,0
CUST-10139,2023-10-05,Enterprise,Retail,Europe,PayPal,8,5515.28,2377.88,3137.4,56.89,0,12,91,10,25099.17,0
CUST-10140,2022-10-20,Enterprise,Retail,Latin America,Invoice,19,5101.15,2066.48,3034.67,59.49,0,20,46,10,57658.72,0
CUST-10141,2022-08-14,Growth,Retail,Latin America,PayPal,21,707.43,299.8,407.63,57.62,2,5,9,9,8560.2,0
CUST-10142,2023-07-21,Enterprise,Logistics,Middle East,Credit Card,10,4273.39,1670.36,2603.03,60.91,0,25,178,8,26030.27,0
CUST-10143,2023-11-20,Professional,Retail,North America,PayPal,6,1433.66,566.59,867.07,60.48,0,10,27,5,5202.43,0
CUST-10144,2023-04-27,Starter,Education,Middle East,PayPal,13,218.03,85.53,132.5,60.77,3,7,4,2,1722.47,1
CUST-10145,2021-04-16,Professional,Manufacturing,Latin America,PayPal,38,1571.22,634.27,936.95,59.63,1,12,32,7,35604.0,0
CUST-10146,2021-09-06,Growth,Retail,Latin America,PayPal,33,534.47,239.18,295.29,55.25,2,5,6,1,9744.69,1
CUST-10147,2021-01-29,Growth,Education,Europe,Invoice,40,619.83,233.3,386.53,62.36,5,8,11,6,15461.34,0
CUST-10148,2021-08-29,Starter,Healthcare,North America,PayPal,33,169.98,73.31,96.67,56.87,2,9,4,7,3190.06,0
CUST-10149,2023-05-01,Growth,Finance,Asia Pacific,Invoice,13,519.63,168.52,351.11,67.57,0,6,6,7,4564.48,0
CUST-10150,2023-02-25,Enterprise,Healthcare,Latin America,Bank Transfer,15,6022.65,2985.3,3037.35,50.43,1,12,188,10,45560.19,0
CUST-10151,2023-04-30,Growth,Logistics,North America,Invoice,13,683.7,225.71,457.99,66.99,2,7,5,8,5953.83,0
CUST-10152,2022-09-04,Professional,Logistics,North America,Invoice,21,1713.54,566.01,1147.53,66.97,1,15,28,10,24098.21,0
CUST-10153,2023-09-19,Enterprise,Logistics,Europe,PayPal,8,5995.45,2688.01,3307.44,55.17,2,14,168,7,26459.48,0
CUST-10154,2022-05-05,Enterprise,Finance,Asia Pacific,Bank Transfer,25,6232.37,2795.03,3437.34,55.15,0,14,49,10,85933.54,0
CUST-10155,2022-10-14,Growth,Logistics,Latin America,Credit Card,19,656.74,198.47,458.27,69.78,1,4,3,5,8707.11,0
CUST-10156,2021-03-17,Enterprise,Finance,Europe,PayPal,39,6164.91,2468.49,3696.42,59.96,1,10,95,6,144160.31,0
CUST-10157,2021-07-24,Professional,Logistics,North America,PayPal,34,1494.99,646.75,848.24,56.74,1,20,46,10,28840.32,0
CUST-10158,2021-11-13,Enterprise,Technology,Europe,PayPal,31,5640.11,2129.34,3510.77,62.25,0,16,96,5,108833.95,0
CUST-10159,2021-06-14,Professional,Retail,Middle East,PayPal,36,1626.84,708.15,918.69,56.47,1,16,33,6,33072.73,0
CUST-10160,2021-05-21,Enterprise,Retail,Latin America,Credit Card,36,5453.2,2394.41,3058.79,56.09,0,13,189,8,110116.51,0
CUST-10161,2021-07-21,Professional,Healthcare,North America,PayPal,34,1744.77,554.35,1190.42,68.23,2,14,42,8,40474.33,0
CUST-10162,2021-03-01,Starter,Finance,Europe,Invoice,39,174.13,81.2,92.93,53.37,4,12,2,4,3624.13,1
CUST-10163,2023-06-02,Starter,Retail,Asia Pacific,Invoice,12,224.68,89.71,134.97,60.07,2,9,3,0,1619.6,1
CUST-10164,2021-12-25,Enterprise,Manufacturing,Europe,Bank Transfer,29,5809.26,1900.04,3909.22,67.29,0,7,147,8,113367.4,0
CUST-10165,2021-10-21,Enterprise,Manufacturing,Europe,PayPal,31,5562.8,1943.62,3619.18,65.06,1,7,174,8,112194.62,0
CUST-10166,2023-08-11,Professional,Finance,Asia Pacific,Credit Card,9,1746.11,546.66,1199.45,68.69,1,14,15,9,10795.05,0
CUST-10167,2022-09-05,Growth,Technology,Latin America,Invoice,21,713.55,294.01,419.54,58.8,0,8,10,9,8810.41,0
CUST-10168,2022-09-11,Enterprise,Education,Asia Pacific,PayPal,20,4353.64,1710.05,2643.59,60.72,1,12,88,5,52871.78,0
CUST-10169,2022-05-01,Enterprise,Logistics,Latin America,Credit Card,25,6142.84,2532.35,3610.49,58.78,1,14,125,5,90262.19,0
CUST-10170,2021-02-14,Professional,Manufacturing,Asia Pacific,Invoice,40,1862.07,822.23,1039.84,55.84,0,14,48,5,41593.65,0
CUST-10171,2023-10-15,Enterprise,Retail,North America,Credit Card,7,5474.71,2677.9,2796.81,51.09,0,20,44,5,19577.69,0
CUST-10172,2022-03-25,Professional,Logistics,Europe,Invoice,26,1675.3,766.27,909.03,54.26,1,17,33,10,23634.72,0
CUST-10173,2021-03-22,Professional,Education,Europe,Credit Card,38,1757.67,833.89,923.78,52.56,1,19,16,6,35103.78,0
CUST-10174,2021-09-27,Enterprise,Technology,Middle East,Invoice,32,4909.45,2209.97,2699.48,54.99,2,20,97,5,86383.4,0
CUST-10175,2022-02-16,Professional,Retail,Latin America,Bank Transfer,27,1290.44,487.97,802.47,62.19,0,15,42,7,21666.57,0
CUST-10176,2021-12-03,Professional,Manufacturing,Middle East,Invoice,30,1337.39,496.62,840.77,62.87,2,11,33,5,25223.14,0
CUST-10177,2021-08-24,Enterprise,Logistics,Asia Pacific,Invoice,33,5404.11,2105.01,3299.1,61.05,2,21,81,10,108870.23,0
CUST-10178,2023-01-20,Starter,Healthcare,Europe,PayPal,16,232.29,75.15,157.14,67.65,5,7,4,2,2514.2,1
CUST-10179,2023-07-21,Enterprise,Technology,Asia Pacific,Credit Card,10,5259.36,2608.41,2650.95,50.4,3,17,141,7,26509.46,0
CUST-10180,2021-08-10,Professional,Manufacturing,Latin America,Invoice,34,1371.43,637.15,734.28,53.54,0,16,34,6,24965.35,0
CUST-10181,2022-03-30,Enterprise,Technology,Middle East,Invoice,26,4407.93,1737.75,2670.18,60.58,1,15,160,8,69424.58,0
CUST-10182,2021-08-27,Enterprise,Education,Asia Pacific,PayPal,33,5167.5,1729.83,3437.67,66.52,0,15,69,9,113443.02,0
CUST-10183,2021-07-19,Starter,Retail,Latin America,Credit Card,34,178.14,77.53,100.61,56.48,2,10,1,1,3420.64,1
CUST-10184,2023-05-09,Growth,Finance,Latin America,Invoice,12,584.6,235.32,349.28,59.75,0,6,12,10,4191.36,0
CUST-10185,2023-04-16,Growth,Finance,North America,PayPal,13,595.5,191.87,403.63,67.78,0,10,13,10,5247.21,0
CUST-10186,2023-06-28,Professional,Technology,Asia Pacific,Bank Transfer,11,1550.18,470.63,1079.55,69.64,2,29,29,10,11875.0,0
CUST-10187,2023-01-23,Growth,Logistics,Asia Pacific,Credit Card,16,729.12,236.27,492.85,67.6,2,10,8,8,7885.59,0
CUST-10188,2022-01-24,Professional,Technology,Latin America,Invoice,28,1332.03,459.91,872.12,65.47,0,13,44,10,24419.35,0
CUST-10189,2021-04-14,Enterprise,Technology,Europe,Credit Card,38,5735.24,1933.15,3802.09,66.29,0,17,159,9,144479.24,0
CUST-10190,2021-05-21,Growth,Healthcare,Middle East,Bank Transfer,36,709.97,330.74,379.23,53.41,1,9,5,5,13652.11,0
CUST-10191,2022-11-04,Growth,Manufacturing,Europe,Bank Transfer,19,515.17,226.95,288.22,55.95,1,7,11,8,5476.25,0
CUST-10192,2022-05-29,Starter,Retail,Europe,Bank Transfer,24,222.99,87.97,135.02,60.55,1,9,1,6,3240.5,0
CUST-10193,2021-01-31,Starter,Education,North America,Bank Transfer,40,241.38,111.16,130.22,53.95,3,10,3,5,5208.81,0
CUST-10194,2021-12-23,Growth,Manufacturing,Asia Pacific,Credit Card,29,561.5,219.05,342.45,60.99,1,8,5,10,9930.99,0
CUST-10195,2021-05-11,Growth,Education,Latin America,Credit Card,37,548.73,169.07,379.66,69.19,4,6,9,8,14047.41,0
CUST-10196,2023-07-15,Professional,Manufacturing,Middle East,Credit Card,10,1685.83,536.86,1148.97,68.15,0,14,27,8,11489.66,0
CUST-10197,2023-07-28,Starter,Education,Middle East,Invoice,10,212.9,94.7,118.2,55.52,4,7,3,7,1182.03,0
CUST-10198,2023-05-24,Starter,Technology,Latin America,PayPal,12,228.13,81.0,147.13,64.49,7,9,1,9,1765.52,0
CUST-10199,2021-06-15,Enterprise,Education,Latin America,Credit Card,36,5972.29,2698.7,3273.59,54.81,1,14,118,7,117849.24,0
CUST-10200,2022-10-28,Growth,Technology,Europe,Invoice,19,648.64,278.37,370.27,57.08,3,6,12,8,7035.07,0
CUST-10201,2021-07-23,Professional,Finance,Middle East,PayPal,34,1278.17,519.21,758.96,59.38,1,16,14,8,25804.49,0
